p,ELEMENTCOUNT,max,NAME
"<http://purl.org/dc/elements/1.1/creator>"",0,""<http://www.w3.org/mythologie/greek/immortal/Zeus>"",
""<http://purl.org/dc/terms/contributor>"",0,""<http://www.w3.org/2004/02/skos/core>"",
""<http://purl.org/dc/terms/creator>"",0,""<http://www.w3.org/2004/02/skos/core>"",
""<http://purl.org/dc/terms/description>"",0,""<http://www.w3.org/2004/02/skos/core>"",
""<http://purl.org/dc/terms/modified>"",0,""<http://www.w3.org/mythologie/greek/immortal/Zeus>"",
""<http://purl.org/dc/terms/title>"",0,""<http://www.w3.org/2004/02/skos/core>"",
""<http://www.semanticweb.org/ontologies/mythologie#images>"",0,""<http://www.w3.org/mythologie/greek/immortal/Zeus>"",
""<http://www.w3.org/1999/02/22-rdf-syntax-ns#first>"",0,_:b50E46324x2,
""<http://www.w3.org/1999/02/22-rdf-syntax-ns#rest>"",0,_:b50E46324x2,
""<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>"",0,""<http://www.w3.org/mythologie/symbol/Lyre>"",
""<http://www.w3.org/2000/01/rdf-schema#comment>"",0,""<http://www.w3.org/mythologie/property#sacredPlant>"",
""<http://www.w3.org/2000/01/rdf-schema#domain>"",0,""<http://www.w3.org/mythologie/property#writtenBy>"",
""<http://www.w3.org/2000/01/rdf-schema#isDefinedBy>"",0,""<http://www.w3.org/2004/02/skos/core#topConceptOf>"",
""<http://www.w3.org/2000/01/rdf-schema#label>"",0,""<http://www.w3.org/2004/02/skos/core#topConceptOf>"",
""<http://www.w3.org/2000/01/rdf-schema#range>"",0,""<http://www.w3.org/mythologie/property#writtenBy>"",
""<http://www.w3.org/2000/01/rdf-schema#seeAlso>"",0,""<http://www.w3.org/2004/02/skos/core>"",
""<http://www.w3.org/2000/01/rdf-schema#subClassOf>"",0,""<http://www.w3.org/2004/02/skos/core#OrderedCollection>"",
""<http://www.w3.org/2000/01/rdf-schema#subPropertyOf>"",0,""<http://www.w3.org/mythologie/property#transformedInto>"",
""<http://www.w3.org/2002/07/owl#disjointWith>"",0,""<http://www.w3.org/2004/02/skos/core#ConceptScheme>"",
""<http://www.w3.org/2002/07/owl#imports>"",0,""<http://www.semanticweb.org/ontologies/mythologie>"",
""<http://www.w3.org/2002/07/owl#inverseOf>"",0,""<http://www.w3.org/mythologie/property#hasTemple>"",
""<http://www.w3.org/2002/07/owl#unionOf>"",0,_:b50E46324x1,
""<http://www.w3.org/2002/07/owl#versionInfo>"",0,""<http://www.semanticweb.org/ontologies/mythologie>"",
""<http://www.w3.org/2002/12/cal/ical#dtstart>"",0,""<http://www.w3.org/mythologie/greek/immortal/Zeus>"",
""<http://www.w3.org/2004/02/skos/core#altLabel>"",0,""<http://www.w3.org/mythologie/greek/immortal/Zeus>"",
""<http://www.w3.org/2004/02/skos/core#broadMatch>"",0,,
""<http://www.w3.org/2004/02/skos/core#broader>"",3,,""<http://www.semanticweb.org/ontologies/mythologie/creature/Medusa>"
"<http://www.w3.org/2004/02/skos/core#broaderTransitive>"",0,,
""<http://www.w3.org/2004/02/skos/core#changeNote>"",0,""<http://www.semanticweb.org/ontologies/mythologie>"",
""<http://www.w3.org/2004/02/skos/core#closeMatch>"",0,,
""<http://www.w3.org/2004/02/skos/core#definition>"",0,""<http://www.w3.org/mythologie/greek/mortal/Heracles>"",
""<http://www.w3.org/2004/02/skos/core#exactMatch>"",0,,
""<http://www.w3.org/2004/02/skos/core#example>"",0,""<http://www.w3.org/mythologie/property#hasGreekCounterpart>"",
""<http://www.w3.org/2004/02/skos/core#hasTopConcept>"",0,,
""<http://www.w3.org/2004/02/skos/core#inScheme>"",81,,""<http://www.w3.org/mythologie/greek/immortal/Zeus>"
"<http://www.w3.org/2004/02/skos/core#mappingRelation>"",0,,
""<http://www.w3.org/2004/02/skos/core#member>"",0,,
""<http://www.w3.org/2004/02/skos/core#memberList>"",0,,
""<http://www.w3.org/2004/02/skos/core#narrowMatch>"",0,,
""<http://www.w3.org/2004/02/skos/core#narrower>"",0,,
""<http://www.w3.org/2004/02/skos/core#narrowerTransitive>"",0,,
""<http://www.w3.org/2004/02/skos/core#prefLabel>"",0,""<http://www.w3.org/mythologie/symbol/Lyre>"",
""<http://www.w3.org/2004/02/skos/core#related>"",1,,""<http://www.w3.org/mythologie/symbol/Gorgoneion>"
"<http://www.w3.org/2004/02/skos/core#relatedMatch>"",0,,
""<http://www.w3.org/2004/02/skos/core#scopeNote>"",0,""<http://www.w3.org/2004/02/skos/core#semanticRelation>"",
""<http://www.w3.org/2004/02/skos/core#semanticRelation>"",0,,
""<http://www.w3.org/2004/02/skos/core#topConceptOf>"",1,,""<http://www.w3.org/mythologie/greek/immortal/Zeus>"
"<http://www.w3.org/mythologie/property#BornIn>"",2,,""<http://www.w3.org/mythologie/greek/immortal/Apollo>"
"<http://www.w3.org/mythologie/property#becomes>"",0,,
""<http://www.w3.org/mythologie/property#event>"",0,,
""<http://www.w3.org/mythologie/property#hasChild>"",0,,
""<http://www.w3.org/mythologie/property#hasCounterpart>"",0,,
""<http://www.w3.org/mythologie/property#hasFather>"",20,,""<http://www.w3.org/mythologie/greek/immortal/Zeus>"
"<http://www.w3.org/mythologie/property#hasFosterFather>"",1,,""<http://www.w3.org/mythologie/greek/mortal/Heracles>"
"<http://www.w3.org/mythologie/property#hasGender>"",3,,""<http://www.w3.org/mythologie/greek/immortal/Zeus>"
"<http://www.w3.org/mythologie/property#hasGreekCounterpart>"",0,,
""<http://www.w3.org/mythologie/property#hasMother>"",23,,""<http://www.w3.org/mythologie/greek/immortal/Zeus>"
"<http://www.w3.org/mythologie/property#hasParent>"",0,,
""<http://www.w3.org/mythologie/property#hasRomanCounterpart>"",18,,""<http://www.w3.org/mythologie/greek/immortal/Zeus>"
"<http://www.w3.org/mythologie/property#hasSourceIdentifier>"",0,,
""<http://www.w3.org/mythologie/property#hasSymbol>"",4,,""<http://www.w3.org/mythologie/greek/immortal/Apollo>"
"<http://www.w3.org/mythologie/property#hasTemple>"",2,,""<http://www.w3.org/mythologie/greek/immortal/Zeus>"
"<http://www.w3.org/mythologie/property#isA>"",0,,
""<http://www.w3.org/mythologie/property#isAlsoCalled>"",0,,
""<http://www.w3.org/mythologie/property#isBrotherOf>"",4,,""<http://www.w3.org/mythologie/greek/immortal/Zeus>"
"<http://www.w3.org/mythologie/property#isChildOf>"",0,,
""<http://www.w3.org/mythologie/property#isDaughterOf>"",0,,
""<http://www.w3.org/mythologie/property#isFatherOf>"",0,,
""<http://www.w3.org/mythologie/property#isGodOf>"",4,,""<http://www.w3.org/mythologie/greek/immortal/Apollo>"
"<http://www.w3.org/mythologie/property#isGoddessOf>"",3,,""<http://www.w3.org/mythologie/greek/immortal/Athena>"
"<http://www.w3.org/mythologie/property#isHusbandOf>"",1,,""<http://www.w3.org/mythologie/greek/immortal/Zeus>"
"<http://www.w3.org/mythologie/property#isKingOf>"",0,,
""<http://www.w3.org/mythologie/property#isLocatedIn>"",10,,""<http://www.semanticweb.org/ontologies/mythologie/temple/Dodone>"
"<http://www.w3.org/mythologie/property#isLoverOf>"",4,,""<http://www.w3.org/mythologie/greek/immortal/Zeus>"
"<http://www.w3.org/mythologie/property#isMotherOf>"",0,,
""<http://www.w3.org/mythologie/property#isPartnerOf>"",0,,
""<http://www.w3.org/mythologie/property#isRelatedTo>"",0,,
""<http://www.w3.org/mythologie/property#isSibling>"",0,,
""<http://www.w3.org/mythologie/property#isSisterOf>"",0,,
""<http://www.w3.org/mythologie/property#isSonOf>"",0,,
""<http://www.w3.org/mythologie/property#isTempleOf>"",2,,""<http://www.semanticweb.org/ontologies/mythologie/temple/Dodone>"
"<http://www.w3.org/mythologie/property#isTwinBrotherOf>"",0,,
""<http://www.w3.org/mythologie/property#isTwinSisterOf>"",0,,
""<http://www.w3.org/mythologie/property#isWifeOf>"",0,,
""<http://www.w3.org/mythologie/property#livesIn>"",18,,""<http://www.w3.org/mythologie/greek/immortal/Apollo>"
"<http://www.w3.org/mythologie/property#mentionedBy>"",2,,""<http://www.w3.org/mythologie/greek/immortal/Zeus>"
"<http://www.w3.org/mythologie/property#regular>"",0,_:b50E46324x44,
""<http://www.w3.org/mythologie/property#sacredAnimal>"",5,,""<http://www.w3.org/mythologie/greek/immortal/Zeus>"
"<http://www.w3.org/mythologie/property#sacredPlant>"",7,,""<http://www.w3.org/mythologie/greek/immortal/Zeus>"
"<http://www.w3.org/mythologie/property#thumbnail>"",0,_:b50E46324x44,
""<http://www.w3.org/mythologie/property#transformedInto>"",0,,
""<http://www.w3.org/mythologie/property#writtenBy>"",0,,
"
